Title,Type,Genres,Director,Year,Rating,Plot,PCA1,PCA2
Legally Blonde,Movie,Comedy,Robert Luketic,2001,3.0,"Fashionable sorority queen Elle Woods has it all, but, she wants nothing more than to be Mrs. Warner Huntington III. But he dumps her before heading to Harvard Law School. Elle rallies all of her resources and gets into Harvard, determined to win him back. While there, she figures out that there is more to herself than just good looks.",-0.11753138983064551,-0.11502384448394977
"Crazy, Stupid, Love.",Movie,"Comedy, Romance, Drama","Glenn Ficarra, John Requa",2011,3.5,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal’s seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",-0.2558574309650994,-0.29983096449885205
Decision to Leave,Movie,"Mystery, Thriller, Romance",Park Chan-wook,2022,4.0,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",-0.20547825430798106,0.213085297220469
Constantine,Movie,"Action, Horror, Fantasy",Francis Lawrence,2005,4.0,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.",-0.03967103115768488,0.18757050294151598
One Million Yen Girl,Movie,Drama,Yuki Tanada,2008,3.5,"A 21-year-old girl is released from prison, only to deal with the neighborhood gossip about her and family conflicts. She decides to save one million yen, move to where no one knows her and keep repeating the process.",-0.14597639888713373,-0.0023804570507671595
Mamma Mia!,Movie,"Comedy, Romance",Phyllida Lloyd,2008,4.5,A spirited young bride-to-be living with her single mother on a small Greek island secretly invites three of her mother’s ex-boyfriends in hope of finding her biological father to walk her down the aisle.,-0.26005353955328087,-0.30001482946603975
After Yang,Movie,"Drama, Science Fiction",Kogonada,2021,4.0,"When his young daughter’s beloved companion — an android named Yang — malfunctions, Jake searches for a way to repair him. In the process, Jake discovers the life that has been passing in front of him, reconnecting with his wife and daughter across a distance he didn’t know was there.",0.14808962074914925,-0.04106702838701563
John Wick,Movie,"Action, Thriller",Chad Stahelski,2014,4.5,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,-0.07868148678651075,0.17977189030531227
Arrival,Movie,"Mystery, Science Fiction, Drama",Denis Villeneuve,2016,5.0,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",0.21424601027971749,0.1294417152611586
Chungking Express,Movie,"Comedy, Drama, Romance",Wong Kar-Wai,1994,2.5,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",-0.2748311670064059,-0.28345173636804377
